"trackingcode","trackingcode","event31","event95","event29","event30","event94","event38","event33","event32"
"em_5355813",NA,33,3,20,3,2,21,1,0
"em_5357940",NA,33,3,18,237,14,18,0,0
"em_5241550",NA,32,9,0,83,5,0,0,0
"em_5258961",NA,31,12,0,127,15,0,0,0
"em_5355724",NA,31,4,50,22,9,50,0,0
"em_5366399",NA,31,2,18,224,15,18,0,0
"em_5355912",NA,31,1,1,6,1,1,0,0
"em_5354941",NA,30,1,1,28,1,1,0,0
"em_5303094",NA,29,21,0,1063,597,0,0,36
"em_5325178",NA,29,19,0,214,36,0,0,0
"em_5317989",NA,29,14,0,138,29,0,0,0
"em_5235321",NA,29,12,0,528,213,0,0,3
"em_5272369",NA,29,6,0,140,15,0,0,0
"em_5363101",NA,29,1,1,3,1,1,0,0
"em_5235356",NA,28,0,0,27,0,0,0,0
"em_5269251",NA,27,12,0,140,16,0,0,0
"em_5255954",NA,27,8,0,71,12,0,0,0
"em_5358992",NA,27,1,1,18,1,1,0,0
"em_5174146",NA,26,0,0,23,0,0,0,0
"em_5194076",NA,25,8,0,127,13,0,0,0
"em_5252261",NA,24,9,0,151,13,0,0,0
"em_5367252",NA,24,6,24,8,6,24,0,0
"em_5296086",NA,24,3,0,116,3,0,0,0
"em_5091347",NA,24,2,0,261,99,0,0,3
"em_5217687",NA,24,2,0,96,3,0,0,0
"em_5355553",NA,24,1,1,27,1,1,0,0
"em_5362886",NA,23,14,35,48,22,35,0,0
"em_5105920",NA,23,7,0,381,159,0,0,5
"em_5235355",NA,23,7,0,83,1,0,0,0
"em_5355571",NA,22,2,46,20,8,46,0,0
"em_5148304",NA,21,9,0,67,6,0,0,0
"em_5362887",NA,21,7,39,82,23,46,7,0
"em_5200619",NA,21,7,0,105,9,0,0,0
"em_5355315",NA,21,6,41,100,10,46,5,0
"em_5340702",NA,21,6,0,140,7,0,0,0
"em_5370307",NA,21,1,1,3,1,1,0,0
"em_5347778",NA,20,11,-2,123,26,0,2,0
"em_5207458",NA,20,10,0,147,26,0,0,0
"em_5137391",NA,20,6,0,176,15,0,0,0
"em_5358466",NA,20,1,1,5,1,1,0,0
